workout_id,workout_name,workout_date,exercise_name,set_number,reps,weight_kg,bodyweight_kg,extra_weight_kg,time_sec
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,5,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,5,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,5,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,5,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,6,5.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,6,4.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,6,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,6,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,6,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,6,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,6,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,7,5.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,7,4.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,7,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,7,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,7,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,7,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,7,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,8,5.0,60.0,,,
